"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"361","TYSER TOWER","1126","234.21","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","2111","166.89","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","2130E","191.34","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","2147","180.79","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3111","166.89","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3123","183.57","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3131","183.95","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","3147","180.79","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4111","166.89","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4123","184.66","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4131","183.7","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","4147","180.79","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","5111","166.89","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"361","TYSER TOWER","5123","319.27","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"164","UNIVERSITY HOUSE","1124","54.94","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"164","UNIVERSITY HOUSE","1124A","202.56","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"764","UPPER MARLBORO OFFICE LAB","1114","41.75","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1131","31.77","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1131A","107.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1304","157.87","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1329","165.06","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1502","264.74","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1526","56.18","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","1526A","171.8","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2121","31.77","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2121A","107.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2201","229.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2304","193.59","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2329","165.01","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","2502","251.81","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","3145","31.77","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","3145A","107.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","3327","165.01","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","3367","135.32","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","3502","252.11","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","4143","31.77","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","4143A","107.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","4330","164.99","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","4367","135.32","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"039","VAN MUNCHING HALL","4502","251.49","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"724","WESTERN MD OFFICE","1109","142.34","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"724","WESTERN MD OFFICE","2111","208.81","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"723","WESTERN MD SUPPORT","1210","108.27","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"723","WESTERN MD SUPPORT","1210A","89.88","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","0204","157.79","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","1204","151.96","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","1403D","199.92","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","2206","151.96","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","2403C","199.92","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","3204","223.29","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","3403B","199.92","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","4122","155.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","4422","127.4","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"084","WILLIAM E. KIRWAN HALL","B0434","133.54","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"081","WIND TUNNEL BUILDING","1105","174.62","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"081","WIND TUNNEL BUILDING","2105B","51.56","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"047","WOODS HALL","0114","223.03","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"047","WOODS HALL","1135","139.4","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"051","WORCESTER HALL","0111C","49","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"428","WYE OAK BUILDING","1106","172.95","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"428","WYE OAK BUILDING","1106A","36.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"428","WYE OAK BUILDING","2112","121.57","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"734","WYE OFFICE ANNEX","1107B","55.62","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"360","XFINITY CENTER","0413","328.89","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","0606","213.08","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2108","278.48","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2119","422.7","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2203","422.32","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2313","422.32","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2403","422.64","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"360","XFINITY CENTER","2414","278.86","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
