"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"090","CHEMICAL & NUCLEAR ENGINEERING","1200","141.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2128","159.31","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2131","95.15","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2131A","29.25","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","0406","163.26","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","0509","140.03","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1202","302.03","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1352","211.38","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1405","49.08","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1509","140.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2234","267.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
